iter	Passed	Remaining
0	31	3118
1	60	2959
2	90	2930
3	119	2870
4	147	2807
5	176	2769
6	207	2753
7	236	2722
8	265	2686
9	293	2644
10	321	2599
11	348	2554
12	375	2515
13	402	2470
14	433	2454
15	459	2413
16	488	2383
17	515	2347
18	541	2309
19	566	2267
20	593	2233
21	621	2203
22	650	2176
23	678	2149
24	703	2111
25	733	2086
26	761	2059
27	790	2033
28	818	2003
29	845	1973
30	878	1954
31	905	1923
32	931	1891
33	959	1862
34	989	1836
35	1018	1809
36	1045	1780
37	1074	1753
38	1104	1726
39	1134	1701
40	1167	1679
41	1195	1651
42	1226	1626
43	1256	1598
44	1284	1569
45	1311	1539
46	1343	1515
47	1372	1487
48	1401	1458
49	1428	1428
50	1457	1399
51	1483	1369
52	1509	1338
53	1537	1309
54	1565	1281
55	1596	1254
56	1629	1229
57	1661	1202
58	1690	1174
59	1719	1146
60	1746	1116
61	1775	1088
62	1803	1059
63	1831	1030
64	1858	1000
65	1883	970
66	1914	942
67	1942	914
68	1970	885
69	2000	857
70	2027	828
71	2055	799
72	2084	770
73	2112	742
74	2142	714
75	2172	686
76	2199	656
77	2229	628
78	2256	599
79	2281	570
80	2311	542
81	2337	513
82	2364	484
83	2392	455
84	2418	426
85	2449	398
86	2476	370
87	2504	341
88	2533	313
89	2562	284
90	2589	256
91	2615	227
92	2646	199
93	2675	170
94	2702	142
95	2729	113
96	2757	85
97	2785	56
98	2811	28
99	2839	0
